Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,targetRatio
0.983,1.012,1.036,1.034,1.008,0.942,0.957,0.945,0.898,0.9,0.86,0.817,0.794,0.753,0.769,0.732,0.722,0.796,0.834,0.81,0.832,0.819
1.032,1.03,1.037,1.012,0.914,0.925,0.911,0.812,0.831,0.766,0.76,0.772,0.772,0.839,0.76,0.772,0.814,0.825,0.829,0.816,0.847,0.83
1.008,1.015,1.018,1.01,0.964,0.968,0.977,0.958,0.906,0.856,0.84,0.827,0.807,0.864,0.831,0.854,0.878,0.885,0.897,0.886,0.901,0.885
1.008,1.016,1.016,1.011,0.971,0.975,0.984,0.968,0.917,0.873,0.857,0.845,0.831,0.888,0.859,0.88,0.903,0.905,0.916,0.906,0.921,0.902
1.0,0.997,1.018,0.994,0.952,0.966,0.96,0.925,0.914,0.877,0.885,0.848,0.826,0.867,0.825,0.862,0.895,0.888,0.893,0.881,0.898,0.878
1.004,1.006,1.004,0.984,0.925,0.942,0.926,0.891,0.876,0.83,0.816,0.806,0.768,0.802,0.743,0.785,0.833,0.827,0.841,0.803,0.825,0.811
0.971,1.015,0.978,0.969,0.893,0.937,0.882,0.794,0.868,0.756,0.795,0.745,0.752,0.718,0.696,0.775,0.794,0.845,0.81,0.836,0.821,0.784
0.97,1.007,0.976,0.958,0.888,0.932,0.888,0.804,0.88,0.771,0.819,0.781,0.799,0.768,0.766,0.829,0.825,0.871,0.838,0.868,0.86,0.822
0.991,0.998,0.968,0.949,0.828,0.838,0.784,0.691,0.707,0.662,0.663,0.581,0.618,0.622,0.59,0.647,0.669,0.684,0.656,0.668,0.678,0.658
0.978,1.014,0.982,0.963,0.881,0.919,0.871,0.784,0.846,0.746,0.784,0.732,0.738,0.712,0.684,0.753,0.777,0.821,0.794,0.813,0.803,0.767
0.972,1.013,0.978,0.962,0.887,0.93,0.883,0.799,0.872,0.767,0.812,0.767,0.773,0.739,0.718,0.786,0.796,0.845,0.817,0.843,0.83,0.793
